Topic,Prompt,Answer,Difficulty,Quiz Only,Hints
integers,"Solve (8 - 2) x (5 - 9)","-24",hard,false,"Follow Order Of Operations || Solve both brackets first || Multiply the values from each bracket"
integers,"Solve [10 + 7^2 - (5 + 3 - 4)] / 1","55",hard,true,"Follow Order Of Operations || Solve the exponent and all bracket expressions || Divide the total expression by 1"
exponents,"Simplify a^3 x a^2","a^5",easy,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Simplify a^4 x a^3","a^7",easy,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Simplify a^1 x a^5","a^6",easy,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Simplify a^2 x a^6","a^8",easy,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Simplify a^7 x a^2","a^9",easy,true,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Simplify a^5 x a^4","a^9",easy,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Write a x a x a x a as an exponent","a^4",easy,false,"What does repeated multiplication mean? || n copies of a = a^n || Exponent of a = number of terms"
exponents,"Write a x a x a as an exponent","a^3",easy,true,"What does repeated multiplication mean? || n copies of a = a^n || Exponent of a = number of terms"
exponents,"Write a^4 as repeated multiplication","a x a x a x a",easy,false,"What does the exponent represent? || a^n = n copies of a || Expand into multiplication"
exponents,"Write a^6 as repeated multiplication","a x a x a x a x a x a",easy,true,"What does the exponent represent? || a^n = n copies of a || Expand into multiplication"
exponents,"Simplify a^8 / a^3","a^5",easy,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify a^9 / a^2","a^7",easy,true,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify a^6 / a^4","a^2",easy,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify a^5 / a^1","a^4",easy,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify (a^2)^3","a^6",easy,true,"What is the rule for (a^n)^m? || (a^n)^m = a^(n x m) || Multiply the exponents"
exponents,"Simplify (a^3)^2","a^6",easy,false,"What is the rule for (a^n)^m? || (a^n)^m = a^(n x m) || Multiply the exponents"
exponents,"Simplify (a^4)^2","a^8",easy,false,"What is the rule for (a^n)^m? || (a^n)^m = a^(n x m) || Multiply the exponents"
exponents,"Simplify (a^5)^1","a^5",easy,true,"What is the rule for (a^n)^1? || (a^n)^1 = a^n || Any number to the power of 1 can be written without the exponent"
exponents,"Simplify a^0","1",easy,false,"What is the rule when the exponent is a 0? || a^0 = 1 || Any non-zero base with a 0 exponent is equal to 1"
exponents,"Simplify a^3 x a^0","a^3",easy,false,"What is the zero rule? || a^0 = 1 || Multiplying by 1 changes nothing"
exponents,"Simplify a^4 / a^0","a^4",easy,false,"What is the zero rule? || a^0 = 1 || Dividing by 1 changes nothing"
exponents,"Simplify (a^0)^5","1",easy,true,"What is the zero rule? || a^0 = 1 || 1 to any power is 1"
exponents,"Write a x a^2 as a single exponent","a^3",easy,false,"What is the rule for a^n x a^m? || Add exponents || Combine powers"
exponents,"Write a x a x a^4 as an exponent","a^6",easy,false,"What is the rule for a^n x a^m? || Add exponents || Combine powers"
exponents,"Simplify a^2 x a^2 x a^2","a^6",easy,false,"What is the rule for a^n x a^m? || Add exponents || Combine powers"
exponents,"Simplify a^-3 x a^5","a^2",medium,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || Add the exponents"
exponents,"Simplify a^4 / a^-1","a^5",medium,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify a^-6 / a^-2","a^-4",medium,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify (a^-2)^3","a^-6",medium,true,"What is the rule for (a^n)^m? || (a^n)^m = a^(n x m) || Multiply the exponents"
exponents,"Simplify (a^3)^-2","a^-6",medium,false,"What is the rule for (a^n)^m? || Multiply exponents || Apply the negative power rule"
exponents,"Simplify a^0 / a^-3","a^3",medium,true,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract exponents"
exponents,"Simplify a^-4 x a^-2","a^-6",medium,false,"What is the rule for a^n x a^m? || a^n x a^m = a^(n+m) || (-4 + -2) = -6"
exponents,"Simplify a^7 / a^9","a^-2",medium,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract the exponents"
exponents,"Simplify a^-1 x a^8","a^7",medium,false,"What is the rule for a^n x a^m? || Add exponents || Combine them"
exponents,"Simplify (a^2)^4 / a^3","a^5",medium,true,"What is the rule for (a^n)^m? || Multiply then subtract the exponents || Combine steps"
exponents,"Simplify (a^-3)^2 / a^1","a^-7",medium,false,"a^n / a^m = a^(n-m) || (a^n)^m = a^(n x m) || Multiply then subtract exponents || Combine steps"
exponents,"Simplify a^5 / (a^2)^2","a^1",medium,false,"a^n / a^m = a^(n-m) || (a^n)^m = a^(n x m) || Multiply exponents, then subtract"
exponents,"Simplify a^-7 / a^3","a^-10",medium,false,"What is the rule for a^n / a^m? || a^n / a^m = a^(n-m) || Subtract exponents"
exponents,"Simplify a^4 x (a^-2)^2","a^0",medium,true,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply exponents, then add"
exponents,"Simplify (a^-1)^3 x a^5","a^2",medium,false,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply then add exponents"
exponents,"Simplify a^2 x a^-5 / a^-1","a^-2",medium,false,"a^n x a^m = a^(n+m) || a^n / a^m = a^(n-m) || Apply product then quotient rules"
exponents,"Simplify (a^3)^2 x a^-4","a^2",medium,false,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply then add exponents"
exponents,"Simplify a^-4","1/(a^4)",medium,false,"What is the rule for negative exponents? || a^-n = 1/(a^n) || Rewrite using positive exponents"
exponents,"Simplify a^-1","1/(a)",medium,true,"What is the rule for negative exponents? || a^-n = 1/(a^n) || Change the exponent to positive in the denominator"
exponents,"Simplify a^-5","1/(a^5)",medium,false,"What is the rule for negative exponents? || a^-n = 1/(a^n) || Move a to the denominator and make the exponent positive"
exponents,"Simplify (a^4)^3 x a^5","a^17",hard,false,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply then add"
exponents,"Simplify (a^-2)^4 x (a^3)^2","a^-2",hard,false,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply both powers then combine"
exponents,"Simplify a^-6 x (a^2)^3 / a^-1","a^1",hard,false,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || a^n / a^m = a^(n-m) || Multiply, add, then subtract"
exponents,"Simplify (a^5)^2 / (a^3)^3","a^1",hard,true,"(a^n)^m = a^(n x m) || a^n / a^m = a^(n-m) || Multiply then subtract"
exponents,"Simplify a^7 / (a^-2)^3 x a^-1","a^12",hard,false,"(a^n)^m = a^(n x m) || a^n / a^m = a^(n-m) || a^n x a^m = a^(n+m) || Multiply, subtract, then add"
exponents,"Simplify (a^-4)^2 x (a^3)^3","a^1",hard,false,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply powers then add"
exponents,"Simplify a^-3 x a^7 x (a^-2)^2","a^0",hard,true,"(a^n)^m = a^(n x m) || a^n x a^m = a^(n+m) || Multiply inner exponent then add all exponents"
exponents,"Simplify (a^2)^5 / a^3 x a^-4","a^3",hard,true,"(a^n)^m = a^(n x m) || a^n / a^m = a^(n-m) || a^n x a^m = a^(n+m) || Multiply, subtract, then add"
volume,"If a square has a width of 5, what is the area?","25",easy,false,"What is the formula for the area of a square? || Area = width x width || Substitute width = 5"
volume,"If a square has a width of 7, what is the area?","49",easy,true,"What is the formula for the area of a square? || Area = w x w || Multiply 7 x 7"
volume,"If a rectangle has width 4 and length 6, what is the area?","24",easy,false,"What is the formula for the area of a rectangle? || Area = length x width || Multiply 6 x 4"
volume,"If a rectangle has width 9 and length 3, what is the area?","27",easy,true,"What is the formula for the area of a rectangle? || Area = l x w || Multiply 9 x 3"
volume,"If a triangle has width 10 and height 4, what is the area?","20",easy,false,"What is the formula for the area of a triangle? || Area = (width x height)/2 || Calculate (10x4)/2"
volume,"If a triangle has width 6 and height 5, what is the area?","15",easy,false,"Use the triangle area rule || Area = (w x h)/2 || Substitute values"
volume,"If a circle has a radius of 3, what is the area?","28.26",easy,false,"What is the formula for the area of a circle? || Area = 3.14(r^2) || Substitute r = 3"
volume,"If a circle has a radius of 5, what is the area?","78.5",easy,false,"Use area formula for circles || Area = 3.14(r^2) || Substitute r = 5"
volume,"If a square has width 11, what is the area?","121",easy,false,"Area = width x width || Multiply 11 x 11 || Square the width"
volume,"If a rectangle has width 12 and length 2, what is the area?","24",easy,true,"Area = l x w || Multiply 12 x 2 || Rectangle formula"
volume,"If a triangle has width 8 and height 3, what is the area?","12",easy,true,"Area of triangle = (w x h)/2 || Multiply 8 x 3 || Divide by 2"
volume,"If a circle has diameter 10, what is the area?","78.5",easy,false,"Radius = diameter/2 || Area = 3.14(r^2) || Use r = 5"
volume,"If a triangle has width 3 and height 9, what is the area?","13.5",easy,false,"Use A = (w x h)/2 || Multiply 3 x 9 || Divide by 2"
volume,"If a rectangle has length 7 and width 7, what is the area?","49",easy,false,"Area = l x w || Multiply 7 x 7 || Rectangle formula"
volume,"If a square has width 13, what is the area?","169",easy,false,"Area of square = width^2 || Square the width || Multiply 13 x 13"
volume,"If a circle has radius 2, what is the area?","12.56",easy,true,"Area = 3.14(r^2) || Square the radius || Multiply by 3.14"
volume,"If a circle has diameter 6, what is the area?","28.26",easy,false,"Radius = diameter/2 || r = 3 || Area = 3.14(r^2)"
volume,"If a triangle's width is 12 and height is 2, what is the area?","12",easy,false,"Triangle area formula || A = (w x h)/2 || Calculate values"
volume,"If a rectangle has area 20 and width 4, find the length.","5",easy,false,"Area = length x width || Rearrange: length = area/width || Calculate 20/4"
volume,"If a square has area 49, find the width.","7",easy,false,"Area of square = w^2 || Solve for w using sqrt || w = sqrt(49)"
volume,"If a rectangle has area 32 and length 8, find the width.","4",easy,true,"Area = l x w || Rearrange width = area/length || Calculate 32/8"
volume,"If a triangle has area 25 and height 10, find the width.","5",easy,false,"Area = (w x h)/2 || Multiply both sides by 2 || Solve for width"
volume,"If a rectangle has width 3 and area 27, find the length.","9",easy,false,"Area = l x w || Solve for l || l = area/width"
volume,"If a square has area 100, what is the width?","10",easy,false,"Width = sqrt(area) || Square root rule || sqrt(100) = 10"
volume,"If a circle has area 50.24, find the radius.","4",medium,true,"Area = 3.14(r^2) || Rearrange for r || r = sqrt(area/3.14)"
volume,"If a circle has area 153.86, find the radius.","7",medium,false,"Use area rule A = 3.14(r^2) || Rearrange r = sqrt(A/3.14) || Substitute A"
volume,"If a triangle has area 40 and height 8, find the width.","10",medium,false,"Area = (w x h)/2 || Rearrange w = (2A)/h || Substitute numbers"
volume,"If a square has area 196, what is the width?","14",medium,false,"Area = w^2 || Width = sqrt(area) || sqrt(196)"
volume,"If a rectangular prism has dimensions 3 x 4 x 5, what is the volume?","60",medium,true,"What is the volume formula? || V = l x w x h || Multiply 3 x 4 x 5"
volume,"If a cube has width 6, what is the volume?","216",medium,false,"Volume = width^3 || Cube each side || 6^3"
volume,"If a cube has width 4, what is its surface area?","96",medium,false,"Surface area = 6(side^2) || Calculate 4^2 || Multiply by 6"
volume,"If a cylinder has radius 4 and height 10, what is the volume?","502.4",medium,true,"Volume = 3.14(r^2)h || Square the radius || Multiply by height"
volume,"If a cylinder has radius 3 and height 5, what is the volume?","141.3",medium,false,"Use cylinder formula || V = 3.14(r^2)h || Substitute values"
volume,"If a triangle has area 18 and width 6, find the height.","6",medium,false,"Area = (w x h)/2 || Rearrange h = (2A)/w || Calculate"
volume,"If a circle's diameter is 12, what is the area?","113.04",medium,true,"Radius = diameter/2 || r = 6 || Area = 3.14(r^2)"
volume,"If a cylinder has volume 628 and height 10, find the radius.","4.47",medium,false,"V = 3.14(r^2)h || Rearrange r = sqrt(V/(3.14h)) || Substitute V,h"
volume,"If a cube has volume 512, find the width.","8",medium,false,"Volume of cube = side^3 || Solve side = cuberoot(volume) || cuberoot(512)"
volume,"If a rectangular prism has volume 96 and base area 16, find the height.","6",medium,true,"Volume = base area x height || Rearrange h = V/base || 96/16"
volume,"If a cylinder has volume 314 and radius 5, find its height.","4",medium,false,"V = 3.14(r^2)h || Rearrange h = V/(3.14(r^2)) || Substitute values"
volume,"If a cube has surface area 54, find the width.","3",medium,false,"Surface area cube = 6s^2 || Solve s^2 = SA/6 || s = sqrt(SA/6)"
volume,"If a triangular prism has base area 12 and height 5, what is its volume?","60",medium,false,"Volume prism = base area x height || Multiply values || 12 x 5"
volume,"If a cylinder has volume 452.16 and radius 6, find the height.","4",hard,false,"Use V = 3.14(r^2)h || Rearrange h = V/(3.14(r^2)) || Substitute values"
volume,"If a rectangular prism has volume 240 and dimensions 5 and 8, find the height.","6",hard,false,"Volume = l x w x h || Solve for h || h = V/(l x w)"
volume,"If a can has volume 314 and height 10, what is the radius?","3.16",hard,true,"V = 3.14(r^2)h || Rearrange for r || r = sqrt(V/(3.14h))"
volume,"If a cube has volume 343, what is the width?","7",hard,false,"Volume = s^3 || Side = cuberoot(volume) || cuberoot(343)"
volume,"If a cylinder has radius 3 and volume 282.6, find the height.","10",hard,false,"V = 3.14(r^2)h || Solve for h || h = V/(3.14(r^2))"
volume,"If a triangular prism has width 4, length 6, height 8, what is the volume?","96",hard,true,"Triangle base area = (w x h)/2 || Multiply by prism length || Volume = base x length"
volume,"If a cube has surface area 150, find the width.","5",hard,false,"Surface area = 6s^2 || Solve for s || s = sqrt(SA/6)"
volume,"If a cylinder has radius 6 and height 4, what is the surface area of the lid?","113.04",hard,false,"Area of circle = 3.14(r^2) || Substitute r = 6 || Calculate 3.14^2"
