correct_rate_topic,avg_time_topic,base_difficulty,mastery,last_hint_level_used,hints_used_topic,will_answer_correct
0.992,36.46,hard,0.982,0,1.43,1
0.874,20.4,easy,0.27,0,0.02,1
0.109,43.24,medium,0.52,1,1.48,0
0.983,19.6,hard,0.781,0,0.4,1
0.475,39.02,medium,0.336,1,0.66,1
0.052,31.0,easy,0.635,2,1.3,0
0.976,30.53,easy,0.523,0,1.16,1
0.926,36.8,hard,0.509,0,0.15,1
0.785,42.66,hard,0.86,0,1.25,0
0.597,40.69,easy,0.172,3,1.34,0
0.046,27.88,easy,0.856,0,0.06,1
0.609,39.65,easy,0.065,0,0.89,1
0.873,28.21,medium,0.412,2,0.28,0
0.384,14.79,easy,0.049,3,1.92,0
0.316,33.44,easy,0.354,0,1.64,1
0.9,40.3,medium,0.702,1,2.0,1
0.505,18.09,easy,0.023,1,1.36,1
0.428,21.69,medium,0.456,1,0.11,1
0.955,38.46,easy,0.831,1,1.82,0
0.038,35.73,hard,0.095,0,0.59,1
0.779,32.14,medium,0.116,1,1.41,1
0.503,26.53,easy,0.134,0,1.96,0
0.955,34.75,medium,0.545,0,1.16,1
0.226,27.25,hard,0.827,0,0.59,0
0.087,27.44,hard,0.052,3,0.13,0
0.598,41.87,easy,0.214,3,0.7,1
0.334,33.32,medium,0.905,0,1.03,0
0.18,22.17,easy,0.432,2,1.69,0
0.941,36.6,medium,0.765,0,1.88,1
0.202,49.58,hard,0.329,0,1.27,0
0.648,41.58,easy,0.271,2,1.9,0
0.546,11.74,easy,0.625,0,0.54,1
0.46,31.44,hard,0.279,1,1.0,1
0.487,1.0,medium,0.562,2,1.11,1
0.395,34.75,medium,0.828,0,0.3,1
0.107,43.33,easy,0.37,0,0.51,0
0.773,26.1,easy,0.623,2,1.46,1
0.866,38.94,hard,0.594,0,1.52,0
0.193,38.51,easy,0.368,0,1.74,0
0.261,35.96,easy,0.167,2,1.48,1
0.983,42.57,medium,0.871,1,1.54,1
0.126,46.78,medium,0.754,0,1.09,0
0.86,18.1,medium,0.907,0,1.88,0
0.262,30.62,easy,0.422,3,0.45,0
0.364,30.78,medium,0.25,2,0.44,1
0.383,31.03,easy,0.787,3,0.09,0
0.604,23.32,medium,0.549,2,1.59,0
0.796,37.4,hard,0.4,3,1.71,1
0.292,25.23,hard,0.345,1,0.09,0
0.805,37.79,medium,0.972,1,0.46,1
0.05,22.34,easy,0.996,0,1.12,1
0.044,26.43,easy,0.183,0,0.73,0
0.929,19.37,medium,0.75,1,1.64,1
0.457,27.75,hard,0.405,1,0.56,0
0.044,35.52,easy,0.777,2,0.4,1
0.64,21.43,easy,0.793,0,0.5,1
0.463,27.96,medium,0.075,1,0.2,1
0.369,32.03,easy,0.242,0,0.09,1
0.624,16.18,easy,0.928,1,1.6,1
0.024,40.52,hard,0.282,3,0.14,1
0.582,38.45,easy,0.236,3,1.16,1
0.963,34.29,easy,0.366,1,1.53,1
0.412,40.12,hard,0.283,1,0.19,0
0.986,34.93,medium,0.576,2,1.32,1
0.434,46.87,easy,0.39,0,1.93,1
0.517,33.55,easy,0.919,3,1.73,1
0.231,25.78,hard,0.268,0,0.34,1
0.162,26.12,medium,0.408,0,1.93,0
0.773,18.78,hard,0.567,0,1.86,1
0.689,28.93,medium,0.782,2,1.34,1
0.667,32.79,hard,0.739,2,1.65,0
0.858,28.66,easy,0.675,2,1.27,0
0.364,16.28,medium,0.234,0,0.73,0
0.985,28.1,hard,0.836,2,0.73,1
0.067,30.62,easy,0.719,0,1.33,1
0.047,44.69,easy,0.252,0,1.07,1
0.817,27.75,medium,0.814,3,1.3,1
0.078,20.73,easy,0.315,0,0.91,1
0.568,26.83,medium,0.984,2,0.47,0
0.338,39.78,medium,0.785,2,0.13,1
0.772,31.2,easy,0.132,0,0.18,1
0.667,28.69,easy,0.814,0,0.74,1
0.07,34.5,hard,0.166,0,0.33,1
0.942,37.15,easy,0.426,2,0.29,1
0.936,37.6,easy,0.93,3,1.33,1
0.917,38.12,easy,0.46,3,0.15,1
0.091,22.94,medium,0.324,0,1.9,1
0.351,22.46,medium,0.667,0,1.14,0
0.261,39.81,easy,0.999,0,1.17,1
0.409,31.29,easy,0.768,3,1.26,1
0.563,45.25,hard,0.377,2,1.69,0
0.354,29.21,easy,0.274,1,0.8,0
0.253,32.29,medium,0.089,0,0.95,1
0.988,9.24,medium,0.055,0,0.31,1
0.347,28.62,easy,0.688,0,1.79,1
0.536,28.72,medium,0.803,0,1.17,0
0.258,38.81,hard,0.678,3,0.74,0
0.481,42.07,easy,0.715,0,1.67,1
0.607,41.19,hard,0.683,1,1.23,0
0.656,10.31,hard,0.476,2,1.39,1
0.326,33.92,easy,0.646,2,1.44,0
0.912,12.42,medium,0.774,0,1.18,1
0.536,26.0,medium,0.022,0,0.52,1
0.414,31.31,easy,0.413,0,1.63,1
0.723,15.3,hard,0.608,0,0.79,0
